Park Name,City,Region,Camping,Campsites,Hiking Trails (#),Top Hike (Name),Top Hike Length,AllTrails Rating,Cycling,Scuba Nearby,Lat,Lon,Suggested Visit,Trip,Dog Friendly,Dog Policy,Activities,Notes,AllTrails URL,Parks.ca.gov URL
Weaverville Joss House SHP,Weaverville,Shasta/Trinity,No,0,~2 nearby,Weaver Basin Trail (Trinity Alps),varies,N/A,Trinity Alps cycling nearby,No,40.7308,-122.9428,Sep 20 2026,Road Trip 3,No,Dogs allowed in parking lot only. Not allowed on temple grounds or inside buildings.,guided temple tours · visitor center · reflecting pool viewing · Chinese New Year celebration · Lion Dance performances,Tours Thu–Sun 10am–5pm only. No trails in park itself. Oldest Chinese temple in CA.,https://www.alltrails.com/explore/parks/us/california/weaverville-joss-house-state-historic-park,https://www.parks.ca.gov/?page_id=457
Shasta SHP,Shasta (near Redding),Shasta/Redding,No,0,1,Shasta State Historic Park Trail,0.6 mi,Easy,Sacramento River Trail nearby,No,40.6032,-122.4832,Sep 19 2026,Road Trip 3,Yes,Dogs on leash allowed in parking lots and paved roadways only. Not allowed inside buildings or on unpaved grounds.,historic ruins exploration · courthouse museum · interpretive exhibits · walking/hiking on grounds · photography · gold rush history tour,1850s gold-rush boomtown ruins. Closed Tue–Wed. Haunting atmosphere.,https://www.alltrails.com/parks/us/california/shasta-state-historic-park,https://www.parks.ca.gov/?page_id=456
William B. Ide Adobe SHP,Red Bluff,Shasta/Redding,No,0,2,Riverside hillside trail,~0.5 mi,N/A,Sacramento River access nearby,No,40.2046,-122.2360,Sep 20 2026,Road Trip 3,Yes,Dogs on leash allowed in picnic areas and parking lots. Not allowed inside buildings or exhibit areas.,picnicking (Sacramento River views) · historic adobe tour · blacksmith shop viewing · pioneer demonstrations · StoryWalk · holiday programs,Adobe home of Bear Flag Republic's only president. Small but charming. Hours limited — call ahead.,N/A,https://www.parks.ca.gov/?page_id=458
Bidwell Mansion SHP,Chico,Gold Country North,No,0,Several (pre-closure),Grounds loop (pre-fire),~1 mi,N/A,Bidwell Park 35+ mi biking nearby,No,39.7285,-121.8374,Sep 13 2026,Road Trip 2,Unknown,"Policy unknown — mansion closed since December 2024 fire. Contact park at (530) 895-6144.",guided mansion tours (pre-fire) · interpretive exhibits · visitor center · walking grounds,"CLOSED since December 2024 fire — verify reopening before visiting! Adjacent Bidwell Park has excellent cycling and hiking.",N/A,https://www.parks.ca.gov/?page_id=460
Malakoff Diggins SHP,Nevada City,Gold Country North,Yes,30,20+ mi of trails,Malakoff Diggins & South Yuba Trail Loop,17.8 mi,4.3★,South Yuba river cycling routes,No,39.4152,-120.8986,Jul 4th weekend,Gold Country Loop,Yes,"Dogs on leash (max 6 ft) allowed on hiking trails, in historic town, campground, and cabins. Not allowed inside historic buildings.",hiking (20+ miles) · camping · swimming (Blair Lake) · fishing (Blair Lake) · ghost town tours · guided gold panning (Saturdays 3pm) · visitor center · snowshoeing (winter) · picnicking,All-paved route available — 26 mi / ~50 min from Nevada City via Tyler Foote Rd. Largest hydraulic gold mine in world. Spectacular landscape.,https://www.alltrails.com/trail/us/california/malakoff-diggins-park-and-south-yuba-trail-loop,https://www.parks.ca.gov/?page_id=494
Empire Mine SHP,Grass Valley,Gold Country North,No,0,14 mi total / 5 MTB,Hardrock Trail Loop,2.4 mi,4.5★ (1088 reviews),Mountain biking on 5 trails,No,39.2157,-121.0682,Jul 4th weekend,Gold Country Loop,Yes,"Dogs on leash (max 6 ft) allowed on roads, trails, and historic zone. Not allowed inside historic buildings or mine shafts. Water available for dogs.",hiking (14 miles) · mountain biking · mine shaft tour · garden walks · guided tours · visitor center/exhibits · picnicking · birdwatching,"14 miles of trails including mountain biking. Largest, deepest gold mine in CA history. Excellent museum.",https://www.alltrails.com/parks/us/california/empire-mine-state-historic-park,https://www.parks.ca.gov/EmpireMine/
Marshall Gold Discovery SHP,Coloma,Gold Country,No,0,3,Gam Saan Trail,2.5 mi,4.4★,American River cycling access ($5/bike),No,38.7968,-120.8869,Jul 4th weekend,Gold Country Loop,Yes,"Dogs on leash allowed on most trails and in the river area. Not allowed inside buildings, on Monument Trail, or Monroe Ridge Trail.",gold panning (lessons + self-guided) · hiking · historic building tours · sawmill replica viewing · museum · swimming/wading (American River) · picnicking · living history events,Site of 1848 gold discovery. Gold panning available. Monroe Ridge Trail has great views. Living history programs on July 4th.,https://www.alltrails.com/parks/us/california/marshall-gold-discovery-state-historic-park,https://www.parks.ca.gov/marshallgold
Folsom Powerhouse SHP,Folsom,Gold Country,No,0,4,Lake Natoma American River Trail,11.5 mi,4.7★ (3478 reviews),American River Bike Trail (32 mi),No,38.6832,-121.1519,Jul 4th weekend,Gold Country Loop,Yes,Dogs on leash allowed on walking paths and grounds near Lake Natoma.,historic powerhouse tours (by reservation) · walking paths · lake views · interactive electricity exhibits · guided monthly events · photography,First long-distance hydroelectric transmission site. Tours only on weekends. Connects to 32-mile American River bike trail.,https://www.alltrails.com/parks/us/california/folsom-powerhouse-state-historic-park,https://www.parks.ca.gov/?page_id=500
State Indian Museum SHP,Sacramento,Gold Country,No,0,None (urban museum),American River Parkway (nearby),23 mi,4.5★,American River Parkway Bike Trail (23 mi),No,38.5743,-121.4882,Jul 4th weekend,Gold Country Loop,Unknown,No confirmed policy — primarily an indoor museum. Call ahead: (916) 324-0971.,self-guided museum tours · hands-on exhibits (pump drill / mortar & pestle) · cultural artifact viewing · interpretive programs · special events,"Urban museum adjacent to Sutter's Fort. No hiking on-site. American River Parkway bike trail 1.9 mi away. Open daily 10am–5pm.",https://www.alltrails.com/explore/parks/us/california/state-indian-museum-state-historic-park,https://www.parks.ca.gov/?page_id=486
Indian Grinding Rock SHP,Volcano / Pine Grove,Gold Country,Yes,23,2,Indian Grinding Rock South Nature Trail,1.4 mi,4.4★ (162 reviews),Amador County cycling routes,No,38.4274,-120.6524,Jul 4th weekend,Gold Country Loop,Yes,"Dogs on leash (max 6 ft) allowed on paved roads and walkway, and at campsite. Not allowed on unpaved trails, open meadows, or forested areas.",hiking (1-mile North Trail loop) · camping · roundhouse viewing · Miwok village site visit · museum visit · bedrock mortar viewing · cultural programs · picnicking,Largest collection of bedrock mortars in North America (1185 holes). Bark house camping available. Miwok cultural village on site.,https://www.alltrails.com/parks/us/california/indian-grinding-rock-state-historic-park,https://www.parks.ca.gov/?page_id=553
